,Salnty,T_degC
0,33.63,18.26
1,34.963,14.74
2,34.049,8.52
3,32.936,12.66
4,33.3991,14.386
5,33.505,12.13
6,34.31,7.96
7,33.133,15.04
8,34.4,3.81
9,34.562,2.64
10,33.649,10.88
11,34.215,7.88
12,33.783,8.87
13,33.953,7.87
14,33.91,19.54
15,34.5,3.88
16,34.19,7.76
17,33.601,10.55
18,33.872,7.84
19,33.849,9.16
20,33.075,16.51
21,33.646,17.78
22,34.297,5.39
23,34.425,8.0
24,34.18,11.63
25,34.02,8.34
26,34.311,6.2
27,34.19,9.82
28,33.3164,15.34
29,33.67,16.96
30,33.314,13.67
31,33.3,10.6
32,34.531,10.44
33,33.91,9.31
34,34.231,5.63
35,33.193,17.95
36,33.763,10.85
37,33.721,9.42
38,33.58,15.34
39,34.04,7.13
40,33.89,6.43
41,33.282,15.16
42,33.47,14.52
43,33.189,13.67
44,34.225,7.99
45,33.702,10.54
46,33.989,8.99
47,33.2,11.74
48,33.525,13.94
49,33.527,11.09
50,33.56,17.06
51,33.42,14.56
52,33.507,9.46
53,34.237,7.42
54,33.229,10.06
55,33.56,11.56
56,34.107,6.94
57,33.6093,10.809
58,34.318,5.81
59,33.42,12.09
60,34.411,4.64
61,33.324,15.2
62,34.46,3.68
63,34.303,6.29
64,34.228,6.81
65,33.861,8.6
66,34.426,6.84
67,33.023,16.06
68,34.142,8.11
69,34.028,7.42
70,33.736,10.18
71,34.168,8.35
72,34.308,6.55
73,33.606,9.56
74,32.982,11.96
75,34.07,9.28
76,34.462,5.63
77,33.644,10.19
78,33.35,17.81
79,33.647,9.83
80,32.847,13.0
81,33.108,15.01
82,33.56,9.39
83,34.442,4.65
84,34.456,4.42
85,33.416,13.94
86,34.184,5.1
87,34.146,9.2
88,34.205,7.04
89,33.86,9.51
90,34.47,4.42
91,34.24,19.77
92,34.607,10.42
93,33.109,18.0
94,34.132,5.73
95,34.068,7.64
96,32.81,12.29
97,33.435,18.25
98,33.759,9.18
99,33.05,14.18
100,33.914,8.39
101,34.665,11.17
102,34.451,5.87
103,33.301,15.3
104,33.265,10.49
105,33.759,18.53
106,33.444,8.15
107,33.379,17.76
108,33.103,14.65
109,33.93,7.82
110,33.264,12.04
111,33.498,12.19
112,32.794,11.99
113,33.431,15.04
114,33.42,11.87
115,33.473,11.79
116,33.426,11.49
117,33.878,8.9
118,34.45,4.46
119,33.415,10.25
120,33.937,9.14
121,33.4,18.35
122,33.708,17.3
123,33.123,10.68
124,34.34,5.65
125,34.077,6.64
126,35.103,13.48
127,32.977,13.63
128,32.891,15.89
129,33.383,13.5
130,33.21,12.04
131,33.267,10.241
132,34.498,8.58
133,34.548,10.48
134,33.848,9.17
135,34.055,9.77
136,33.21,15.1
137,34.04,6.74
138,33.46,14.89
139,33.429,18.54
140,34.311,5.04
141,33.529,20.41
142,33.486,12.99
143,34.218,8.68
144,34.058,6.46
145,34.11,7.27
146,33.97,9.11
147,32.82,9.54
148,33.23,11.47
149,33.66,9.4
150,33.93,8.78
151,34.239,4.53
152,33.399,14.95
153,33.897,10.84
154,33.57,12.58
155,34.003,8.97
156,33.602,11.88
157,34.056,5.94
158,34.053,8.07
159,34.656,11.55
160,33.91,16.7
161,34.301,6.17
162,34.2,9.51
163,33.336,19.04
164,34.477,3.76
165,33.43,11.15
166,33.877,9.51
167,34.65,26.64
168,34.28,5.6
169,33.74,11.58
170,33.38,17.3
171,34.688,1.52
172,34.23,5.84
173,34.541,2.8
174,33.57,14.62
175,34.334,7.15
176,34.161,7.13
177,34.25,8.53
178,34.14,6.62
179,34.203,7.6
180,33.35,13.73
181,32.77,10.31
182,34.489,9.21
183,34.03,9.58
184,33.464,15.22
185,33.776,10.13
186,34.148,6.05
187,34.391,5.12
188,33.37,14.37
189,33.709,16.9
190,33.38,10.93
191,34.41,14.92
192,34.36,6.47
193,34.245,4.86
194,34.202,7.56
195,34.56,8.61
196,34.099,8.78
197,33.82,9.68
198,33.873,9.85
199,34.5,7.62
200,33.63,14.22
201,33.53,10.82
202,33.467,11.5
203,33.184,14.41
204,33.336,9.9
205,33.32,14.3
206,33.3,11.34
207,33.487,11.45
208,34.31,5.54
209,34.323,6.65
210,34.009,8.81
211,33.891,8.62
212,33.132,13.77
213,33.21,9.98
214,33.652,10.02
215,34.144,8.51
216,33.172,15.42
217,34.61,10.42
218,33.399,15.38
219,34.214,5.85
220,33.5,14.05
221,33.9,8.58
222,34.174,6.3
223,34.329,9.0
224,33.92,7.82
225,34.2414,5.775
226,33.28,11.37
227,34.256,8.25
228,34.247,5.25
229,33.892,8.82
230,33.84,7.82
231,34.255,7.95
232,34.033,8.37
233,33.537,12.51
234,33.764,9.99
235,34.1706,9.21
236,34.3,7.42
237,32.843,13.96
238,33.891,8.6
239,34.452,6.48
240,33.46,11.92
241,34.286,5.85
242,35.214,14.01
243,33.26,8.98
244,33.932,8.81
245,33.406,16.59
246,34.13,8.13
247,33.51,8.75
248,33.627,12.11
249,33.617,10.32
250,34.25,5.54
251,33.67,11.99
252,34.21,5.64
253,33.536,10.86
254,34.476,11.61
255,33.125,9.69
256,33.4,15.42
257,33.7,14.93
258,33.53,19.5
259,33.694,12.51
260,33.988,8.75
261,33.53,17.11
262,34.231,5.51
263,34.241,6.92
264,33.99,7.78
265,33.99,8.67
266,32.767,8.98
267,33.19,13.58
268,33.486,16.62
269,34.47,6.02
270,33.291,13.75
271,33.22,11.33
272,33.276,10.6
273,33.353,14.17
274,34.26,8.22
275,33.28,13.99
276,33.36,12.32
277,33.8,6.56
278,34.042,8.25
279,33.94,8.73
280,34.179,5.61
281,33.328,15.68
282,33.6,11.33
283,34.272,6.15
284,33.94,8.2
285,33.42,9.52
286,33.611,10.64
287,34.034,7.39
288,33.415,12.39
289,34.07,8.46
290,34.45,6.86
291,33.792,9.76
292,34.128,6.11
293,33.818,9.67
294,34.338,10.18
295,33.94,10.98
296,34.0153,7.237
297,33.46,11.83
298,34.251,6.59
299,34.422,3.77
